customer_id,clicks,impressions
5da86e71bf5dee4cf5047046 ,412 ,7855 
5da86e71bf5dee4cf5047046 ,241 ,4829 
5da86e71bf5dee4cf5047046 ,364 ,7842 
5da86e71bf5dee4cf5047046 ,321 ,6737 
5da86e71bf5dee4cf5047046 ,276 ,7506 
5da86e71bf5dee4cf5047046 ,265 ,6105 
5da86e71bf5dee4cf5047046 ,298 ,6078 
5da86e71bf5dee4cf5047046 ,390 ,10561 
5da86e71bf5dee4cf5047046 ,303 ,6366 
5da86e71bf5dee4cf5047046 ,281 ,6451 
5da86e71bf5dee4cf5047046 ,12 ,498 
5da86e71bf5dee4cf5047046 ,185 ,4065 
5da86e71bf5dee4cf5047046 ,198 ,4984 
5da86e71bf5dee4cf5047046 ,234 ,4883 
5da86e71bf5dee4cf5047046 ,121 ,2235 
5da86e71bf5dee4cf5047046 ,290 ,7567 
5da86e71bf5dee4cf5047046 ,8 ,148 
5da86e71bf5dee4cf5047046 ,190 ,2106 
5da86e71bf5dee4cf5047046 ,346 ,4330 
5da86e71bf5dee4cf5047046 ,477 ,5044 
5da86e71bf5dee4cf5047046 ,657 ,7221 
5da86e71bf5dee4cf5047046 ,886 ,10578 
5da86e71bf5dee4cf5047046 ,837 ,13882 
5da86e71bf5dee4cf5047046 ,653 ,13659 
5da86e71bf5dee4cf5047046 ,451 ,9737 
5da86e71bf5dee4cf5047046 ,434 ,9863 
5da86e71bf5dee4cf5047046 ,480 ,10379 
5da86e71bf5dee4cf5047046 ,580 ,14807 
5da86e71bf5dee4cf5047046 ,609 ,11981 
5da86e71bf5dee4cf5047046 ,622 ,12319 
5da86e71bf5dee4cf5047046 ,626 ,11076 
5da86e71bf5dee4cf5047046 ,681 ,10413 
5da86e71bf5dee4cf5047046 ,337 ,6914 
5da86e71bf5dee4cf5047046 ,285 ,6582 
5da86e71bf5dee4cf5047046 ,253 ,3793 
5da86e71bf5dee4cf5047046 ,439 ,7414 
5da86e71bf5dee4cf5047046 ,395 ,7562 
5da86e71bf5dee4cf5047046 ,340 ,6441 
5da86e71bf5dee4cf5047046 ,301 ,5017 
5da86e71bf5dee4cf5047046 ,170 ,3661 
5da86e71bf5dee4cf5047046 ,155 ,2500 
5da86e71bf5dee4cf5047046 ,305 ,5911 
5da86e71bf5dee4cf5047046 ,290 ,5695 
5da86e71bf5dee4cf5047046 ,312 ,6716 
5da86e71bf5dee4cf5047046 ,328 ,7422 
5da86e71bf5dee4cf5047046 ,253 ,5237 
5da86e71bf5dee4cf5047046 ,260 ,5729 
5da86e71bf5dee4cf5047046 ,5 ,190 
5da86e71bf5dee4cf5047046 ,99 ,1239 
5da86e71bf5dee4cf5047046 ,90 ,1205 
5da86e71bf5dee4cf5047046 ,109 ,1133 
5da86e71bf5dee4cf5047046 ,99 ,1367 
5da86e71bf5dee4cf5047046 ,108 ,1184 
5da86e71bf5dee4cf5047046 ,120 ,1148 
5da86e71bf5dee4cf5047046 ,21 ,142 
5da86e71bf5dee4cf5047046 ,65 ,753 
5da86e71bf5dee4cf5047046 ,116 ,1279 
5da86e71bf5dee4cf5047046 ,143 ,1552 
5da86e71bf5dee4cf5047046 ,136 ,1864 
5da86e71bf5dee4cf5047046 ,124 ,1712 
5da86e71bf5dee4cf5047046 ,109 ,1298 
5da86e71bf5dee4cf5047046 ,111 ,1423 
5da86e71bf5dee4cf5047046 ,105 ,1499 
5da86e71bf5dee4cf5047046 ,115 ,1447 
5da86e71bf5dee4cf5047046 ,1 ,32 
5da86e71bf5dee4cf5047046 ,76 ,1116 
5da86e71bf5dee4cf5047046 ,96 ,1128 
5da86e71bf5dee4cf5047046 ,106 ,1259 
5da86e71bf5dee4cf5047046 ,100 ,1503 
5da86e71bf5dee4cf5047046 ,108 ,1148 
5da86e71bf5dee4cf5047046 ,4 ,75 
5da86e71bf5dee4cf5047046 ,14 ,159 
5da86e71bf5dee4cf5047046 ,58 ,556 
5da86e71bf5dee4cf5047046 ,60 ,732 
5da86e71bf5dee4cf5047046 ,3 ,41 
5da86e71bf5dee4cf5047046 ,87 ,945 
5da86e71bf5dee4cf5047046 ,56 ,797 
